Product Name,Price,Original Prices,Discount rates,brand
LuvLap Hippo Spout 225ml,191,265,27% off,LuvLap
Fashion Huts Nylon Infants Baby Bedding with Mosquitoes...,274,400,31% off,Fashion
Himalaya Gentle Baby Laundry Wash 1 Ltr (Bottle) Liquid...,346,495,30% off,Himalaya
LWF 12 Piece Chu Chu Bath Toy Animal Shape BPA Free 100...,299,999,70% off,LWF
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off,Pampers
Naughty Kidz Star Shaped Baby Food Feeder||Fruit Feeder...,189,500,62% off,Naughty
Pigeon Strawberry Children Toothpaste,140,165,15% off,Pigeon
MamyPoko Pants Pants Extra Absorb Diapers - XL,"1,492","1,699",12% off,MamyPoko Pants
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off,Pampers
"Pampers New Diapers Pants, Medium, 28 Count - M",375,399,6% off,Pampers
Himalaya Soothing Baby Wipes,165,184,10% off,Himalaya
Himalaya Extra Moisturizing baby wash 200 ml,142,150,5% off,Himalaya
MMShopy Fruit and Food Nibbler & Feeding Pacifier DD Fe...,188,499,62% off,MMShopy
Sebamed Baby Wash Extra Soft 400ml,820,850,3% off,Sebamed
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off,Mamaearth
"Pampers Premium Care Super Value box pack, Large (Pack ...","2,519","3,149",20% off,Pampers
Sebamed kids Cleansing bar for delicate skin - Pack of ...,255,265,3% off,Sebamed
Himalaya Gentle Baby Laundry Wash 1 Ltr (Pouch) Liquid ...,297,425,30% off,Himalaya
Pampers Active Baby Diapers - New Born,972,999,2% off,Pampers
SSS - Automatic Toothpaste Dispenser with 5 Toothbrush ...,199,399,50% off,SSS
LuvLap Liquid cleanser bottle 1.5 ltr,434,669,35% off,LuvLap
LuvLap Breast Pump  - Manual,599,799,25% off,LuvLap
Huggies Dry pants- Medium - M,"1,217","1,580",22% off,Huggies
Himalaya Babycare Gift Pack of 4,185,195,5% off,Himalaya
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off,Pampers
Nestle Nan Excella Pro Infant Formula Powder (Stage 1),730,NaN,Nan,Nestle
Billion Extra Absorb Diaper Pants - M,219,260,15% off,Billion
Nestle Nan Pro 1 Infant Formula Powder,599,NaN,Nan,Nestle
Pampers Baby-Dry Pants Diaper - M,618,699,11% off,Pampers
Himalaya Refreshing Baby Wash,80,85,5% off,Himalaya
Beautiq Baby Collections Complete Stainless Steel Feedi...,400,NaN,Nan,Beautiq
"kakustore Baby Crawling Anti-Slip Knee, Unisex Baby Tod...",175,999,82% off,kakustore
Johnson's Baby Oil with Vitamin E,105,NaN,Nan,Johnson's
Johnson's Active Kids Clean & Fresh Shampoo Baby Boys &...,99,100,1% off,Johnson's
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off,Pampers
Himalaya Total Care Baby Pants - L,361,425,15% off,Himalaya
Huggies Wonder pants - S,"1,154","1,499",23% off,Huggies
MamyPoko Pants Pants Extra Absorb Diapers - S,463,499,7% off,MamyPoko Pants
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off,Pampers
"Pigeon COTTON BALLS, 100PCS/PACK PSH",167,195,14% off,Pigeon
Billion Extra Absorb Diaper Pants - S,219,260,15% off,Billion
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,175,399,56% off,Miss
Fareto Baby Hosiery Single Layer Cotton Cloth Tying Kno...,350,999,64% off,Fareto
MamyPoko Pants Wipes with Green Tea Essence,294,320,8% off,MamyPoko Pants
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off,Pampers
MamyPoko Pants Pants Extra Absorb Diapers - S,"1,349","1,499",10% off,MamyPoko Pants
MamyPoko Pants Pants Extra Absorb Diapers - New Born,99,NaN,Nan,MamyPoko Pants
MamyPoko Pants Pants Extra Absorb Diapers - S,955,999,4% off,MamyPoko Pants
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off,Pampers
LuvLap Pizza Pie design Silicone Teether Teether,205,249,17% off,LuvLap
BELLA COTTON BUDS WITH ALOE VERA EXTRACT PLASTIC BOX,127,129,1% off,BELLA
Huggies Wonder pants - L,"1,231","1,599",23% off,Huggies
Similac Follow-up Formula (Stage 2),345,NaN,Nan,Similac
LuvLap Breast Pads - 24's Pack,134,179,25% off,LuvLap
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off,Mamaearth
Everything Imported Best Safe Shampoo Bathing Protect S...,145,300,51% off,Everything
Adore Supreme 5Pcs Baby Milk Bottle Nipple Straw Brush ...,249,NaN,Nan,Adore
Futaba Adjustable Baby Shower Cap,102,499,79% off,Futaba
Pampers Active Baby Diapers - New Born,972,999,2% off,Pampers
Himalaya Gentle Baby Wipes,78,79,1% off,Himalaya
Huggies Dry pants Small - S,97,99,2% off,Huggies
Johnson's New Cream 100gm (Pack of 2),256,270,5% off,Johnson's
Huggies Dry - L,395,470,15% off,Huggies
Himalaya Gentle Baby Soap 6N X 75G,242,264,8% off,Himalaya
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off,Pampers
Croox Baby's BPA-Free Silicone Food Nibbler for Fruit a...,189,399,52% off,Croox
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,284,499,43% off,Miss
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,448,699,35% off,Miss
Pampers Baby-Dry Pants Diaper - M,618,699,11% off,Pampers
Odomos Naturals Non Sticky Mosquito Repellent Cream,87,92,5% off,Odomos
"Little Angel Baby Diaper Pants, Extra Large (6 X Pack o...","2,430","4,194",42% off,Little
Dexolac Premium 2 Follow-Up Formula (After 6 Months) Ti...,515,NaN,Nan,Dexolac
Pigeon Peristaltic Nipple 2 Pc L Size Fast Flow Nipple,190,NaN,Nan,Pigeon
Johnson's Baby No More Tears Shampoo 100 ml Baby Boys &...,87,NaN,Nan,Johnson's
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off,Pampers
Billion Extra Absorb Diaper Pants - M,419,520,19% off,Billion
