Product Name,Price,Original Prices,Discount rates,brand,Column1
TimberTaste Sheesham Wood Solid Wood Side Table,"5,690","7,675",25% off,,TimberTaste
Nilkamal Freedom Mini Small (FMS) Plastic Free Standing...,"1,990","2,430",18% off,,Nilkamal
Flipkart SmartBuy FK2411S Full Motion TV Mount,549,"2,199",75% off,,Flipkart
India Furnish XXXL Tear Drop  (Without Beans),799,"1,999",60% off,,India
Flipkart Perfect Homes Julian 3 Door Wardrobe,"9,990","13,799",27% off,,Flipkart
Flipkart Perfect Homes Rhea 4 inch Single PU Foam Mattr...,"3,334","6,699",50% off,,Flipkart
Aristo Plastic Free Standing Cabinet,"1,180","1,640",28% off,,Aristo
LIMETRO STEEL Metal Shoe Stand,998,"1,499",33% off,,LIMETRO
Tidyhomz Wood Portable Laptop Table,"1,399","2,000",30% off,,Tidyhomz
NapCloud SmartNap 4 inch King High Resilience (HR) Foam...,"9,749","12,999",25% off,,NapCloud
Flipkart Perfect Homes Sirena TV Entertainment Unit,"6,490","9,499",31% off,,Flipkart
HomeTown Engineered Wood Shoe Rack,"6,590","14,900",55% off,,HomeTown
Flipkart Perfect Homes Webster TV Entertainment Unit,"13,490","19,599",31% off,,Flipkart
RoyalOak Engineered Wood Shoe Rack,"4,190","7,900",46% off,,RoyalOak
Flipkart Perfect Homes Medley Engineered Wood Queen Hyd...,"16,190","24,549",34% off,,Flipkart
NapCloud ZipNap 6 inch Double Memory Foam Mattress,"11,249","14,999",25% off,,NapCloud
Joyful Plastic Free Standing Chest of Drawers,"1,349","2,155",37% off,,Joyful
Joyful Plastic Free Standing Chest of Drawers,"1,950","3,110",37% off,,Joyful
Captiver Mars Bed Wood Portable Laptop Table,"1,249","2,099",40% off,,Captiver
NapCloud ZipNap 6 inch Single Memory Foam Mattress,"10,499","13,999",25% off,,NapCloud
Flipkart Perfect Homes PureWood Sheesham Book Shelf,"13,490","22,877",41% off,,Flipkart
Flipkart Perfect Homes Luzon Metal 6 Seater Dining Set,"17,990","19,999",10% off,,Flipkart
CMerchants CABINET 5LAYER Metal Collapsible Shoe Stand,580,"1,999",70% off,,CMerchants
Flipkart Perfect Homes PureWood Sheesham Coffee Table,"7,890","16,314",51% off,,Flipkart
LIMETRO STEEL High Quality Stainless Stainless 4 Self S...,"1,498","2,499",40% off,,LIMETRO
NapCloud ZipNap Plus 8 inch Queen Memory Foam Mattress,"14,624","19,499",25% off,,NapCloud
FurnCentral Wood Portable Laptop Table,"1,249","1,798",30% off,,FurnCentral
Snazzy (Extra Large) Wood Portable Laptop Table,"1,499","1,999",25% off,,Snazzy
Flipkart Perfect Homes Carol Engineered Wood King Bed,"11,890","16,999",30% off,,Flipkart
NapCloud ZipNap 6 inch King Memory Foam Mattress,"14,999","19,999",25% off,,NapCloud
Karmax Wood Portable Laptop Table,"1,699","2,499",32% off,,Karmax
"Gymfy Plastic, Metal Collapsible Shoe Stand","1,249","3,999",68% off,,Gymfy
Flipkart Perfect Homes Iris Therapedic 6 inch Queen Bon...,"9,790","18,999",48% off,,Flipkart
Flipkart Perfect Homes PureWood Sheesham Coffee Table,"7,790","13,859",43% off,,Flipkart
Flipkart SmartBuy Metal Collapsible Shoe Stand,699,799,12% off,,Flipkart
NapCloud ZipNap Plus 8 inch King Memory Foam Mattress,"16,499","21,999",25% off,,NapCloud
LIMETRO STEEL Metal Shoe Stand,"1,499","2,499",40% off,,LIMETRO
MemeHO Normal Wood Wood Portable Laptop Table,999,"1,499",33% off,,MemeHO
Flipkart Perfect Homes Studio Wood Portable Laptop Tabl...,799,"1,499",46% off,,Flipkart
Flipkart Perfect Homes Rhea 4 inch Queen PU Foam Mattre...,"5,186","11,499",54% off,,Flipkart
Furniture Mind Victory Solid Wood Shoe Rack,"9,090","17,550",48% off,,Furniture
"PetNest Mini Budgie , Breeding Box and Nest with Perch ...",175,350,50% off,,PetNest
Flipkart Perfect Homes Studio 2 Door 6 Shelf PP Collaps...,"1,549","3,699",58% off,,Flipkart
Snazzy Portable Standing Wood Portable Laptop Table,"1,249","1,599",21% off,,Snazzy
Maison & Cuisine 88130 Grey PP Collapsible Wardrobe,"1,549","2,799",44% off,,Maison
Flipkart Perfect Homes Rhea 4 inch Single PU Foam Mattr...,"3,334","6,699",50% off,,Flipkart
HomeTown Riveria Engineered Wood Shoe Rack,"4,690","8,000",41% off,,HomeTown
Crystal Furnitech Orion Engineered Wood Office Table,"8,990","10,330",12% off,,Crystal
7CR Multi+KH-10 (WB) Engineered Wood Display Unit,696,"2,999",76% off,,7CR
NapCloud SmartNap 4 inch King High Resilience (HR) Foam...,"9,749","12,999",25% off,,NapCloud
FurnCentral Engineered Wood Portable Laptop Table,899,"1,798",50% off,,FurnCentral
TidyHomz Wood Portable Laptop Table,"1,299","1,900",31% off,,TidyHomz
Flipkart Perfect Homes Carol Engineered Wood Queen Bed,"9,490","13,999",32% off,,Flipkart
FurnCentral Fabric Shoe Stand,"1,799","3,299",45% off,,FurnCentral
Tarkan Stud Foldable Wooden Mini Desk Wood Portable Lap...,799,"1,499",46% off,,Tarkan
NapCloud ZipNap 6 inch Double Memory Foam Mattress,"11,249","14,999",25% off,,NapCloud
FurnCentral Metal Kitchen Cabinet,"1,299","2,199",40% off,,FurnCentral
Flipkart Perfect Homes Julian Engineered Wood 3 Door Wa...,"9,990","13,790",27% off,,Flipkart
VDNSI Stainless Steel 4 Layer Onion Potato Stand for Ki...,"1,749","2,400",27% off,,VDNSI
