Product Name,Price,Original Prices,Discount rates,Ratings,Brand
Karbonn K9 SPY,"1,149",NaN,Nan,3.9,Karbonn
"Moto E6s (Polished Graphite, 64 GB)","7,999","9,999",20% off,4.1,Moto
Snexian Rock,"1,030",NaN,Nan,3.9,Snexian
Snexian Rock,"1,285",NaN,Nan,3.9,Snexian
"Vivo V17 (Glacier ice white, 128 GB)","24,990","27,990",10% off,4.5,Vivo
"Huawei Y9 Prime 2019 (Sapphire Blue, 128 GB)","15,999","19,990",19% off,4.3,Huawei
Lava A1200,"1,180","1,199",1% off,4.2,Lava
"Meizu C9 (Gold, 16 GB)","3,699","6,999",47% off,4.1,Meizu
Kechaoda A27,990,NaN,Nan,4.1,Kechaoda
Micromax X746,"1,199","2,499",52% off,4,Micromax
"OPPO F11 (Fluorite Purple, 128 GB)","13,990","21,990",36% off,4.4,OPPO
"Vivo S1 (Diamond Black, 128 GB)","16,990","19,990",15% off,4.5,Vivo
"Vivo S1 (Diamond Black, 128 GB)","19,990","22,990",13% off,4.5,Vivo
"Samsung Galaxy A50s (Prism Crush Black, 128 GB)","18,570","24,900",25% off,4.3,Samsung
Lava A1200,"1,199","1,349",11% off,4.2,Lava
"Redmi Note 7S (Sapphire Blue, 32 GB)","9,999","11,999",16% off,4.4,Redmi
"Apple iPhone XR (White, 128 GB)","57,800",NaN,Nan,4.6,Apple
"Apple iPhone 8 (Silver, 64 GB)","38,999","39,900",2% off,4.5,Apple
"Micromax iOne (Black, 16 GB)","3,965","3,980",Nan,4,Micromax
Micromax X811,"1,099",NaN,Nan,3.8,Micromax
"Tecno Spark Go Plus (Vacation Blue, 32 GB)","7,299","7,499",2% off,4.3,Tecno
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Intex Turbo 108+,999,NaN,Nan,4.2,Intex
"Karbonn Vue 1 (Champagne, 8 GB)","3,799",NaN,Nan,4,Karbonn
"OPPO A9 2020 (Marine Green, 128 GB)","15,990","18,990",15% off,4.4,OPPO
"Honor 9 Lite (Midnight Black, 64 GB)","8,499","16,999",50% off,4.3,Honor
"Apple iPhone XR (White, 128 GB)","57,800",NaN,Nan,4.6,Apple
"XOLO Era 4x (Black, 16 GB)","4,299","7,199",40% off,4.1,XOLO
"Vivo V15 Pro (Topaz Blue, 128 GB)","21,099","32,990",36% off,4.5,Vivo
Micromax X740,"1,194","1,499",20% off,3.8,Micromax
Kechaoda K28,"1,075",NaN,Nan,4,Kechaoda
"Realme X2 Pro (Neptune Blue, 64 GB)","29,999",NaN,Nan,4.5,Realme
Samsung Guru 1200,"1,389","1,410",1% off,4.3,Samsung
"OnePlus 7 (Red, 256 GB)","36,480",NaN,Nan,4.6,OnePlus
Micromax X809,"1,170",NaN,Nan,3.9,Micromax
"Redmi K20 (Carbon Black, 64 GB)","21,999","22,999",4% off,4.5,Redmi
Kechaoda K115,899,"1,349",33% off,4.1,Kechaoda
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","12,999","16,999",23% off,4.5,Redmi
Samsung Guru Music 2 SM-B310E,"1,899","1,950",2% off,4.1,Samsung
Hicell C1 Nova,599,NaN,Nan,3.5,Hicell
"Realme X (Space Blue, 128 GB)","20,999",NaN,Nan,4.5,Realme
"Realme X (Space Blue, 128 GB)","17,999",NaN,Nan,4.5,Realme
"Realme 3i (Diamond Black, 64 GB)","10,499","10,999",4% off,4.4,Realme
"Realme 3i (Diamond Blue, 32 GB)","8,499","8,999",5% off,4.4,Realme
"Redmi Note 8 (Cosmic Purple, 64 GB)","11,449","12,999",11% off,4.4,Redmi
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Realme 5s (Crystal Red, 128 GB)","11,999","12,999",7% off,4.4,Realme
"Asus ZenFone Max M2 (Blue, 32 GB)","7,499","12,999",42% off,4.3,Asus
"Redmi Note 7 Pro (Space Black, 64 GB)","10,999","15,999",31% off,4.5,Redmi
Muphone M20,979,"1,999",51% off,NaN,Muphone
